,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_4084,Australia,4084,SHAY GAP,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor4084_999999998752773.txt,-20.4958,120.1672,164m,19904,26.08,5min,mm,NA,-999.0,0.0, Changed LST,164.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_4084.txt,21,mm,AU_4084,1973102417,1976020100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1976-01-31 16:00:00+00:00,1973-10-24 09:00:00+00:00
AU_14633,Australia,14633,ROPER BAR STORE,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14633_999999998752779.txt,-14.7356,134.5291,18m,2472,36.93,5min,mm,NA,-999.0,0.03, Changed LST,18.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14633.txt,21,mm,AU_14633,1976102101,1977020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,1977-01-31 14:30:00+00:00,1976-10-20 15:30:00+00:00
AU_82042,Australia,82042,STRATHBOGIE,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor82042_999999998752770.txt,-36.8472,145.7308,502m,364419,7.59,5min,mm,NA,-999.0,0.0, Changed LST,502.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_82042.txt,21,mm,AU_82042,1974010322,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1974-01-03 12:00:00+00:00
AU_66078,Australia,66078,LUCAS HEIGHTS (ANSTO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor66078_999999998752763.txt,-34.0517,150.98,140m,79084,5.33,5min,mm,NA,-999.0,0.0, Changed LST,140.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_66078.txt,21,mm,AU_66078,1959082421,1968090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1968-08-31 14:00:00+00:00,1959-08-24 11:00:00+00:00
AU_8038,Australia,8038,MOORA WEST,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor8038_999999998752773.txt,-30.6392,115.9883,205m,110954,48.84,5min,mm,NA,-999.0,0.01, Changed LST,205.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_8038.txt,21,mm,AU_8038,1999070423,2012030100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2012-02-29 16:00:00+00:00,1999-07-04 15:00:00+00:00
AU_40659,Australia,40659,GREENBANK THOMPSON ROAD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40659_999999998752738.txt,-27.6956,152.9408,77m,341443,14.28,5min,mm,NA,-999.0,0.0, Changed LST,77.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40659.txt,21,mm,AU_40659,1975121906,2014120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-11-30 14:00:00+00:00,1975-12-18 20:00:00+00:00
AU_61175,Australia,61175,MOUNT DARKEY,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61175_999999998752763.txt,-32.7,151.0,365.8m,93311,3.57,5min,mm,NA,-999.0,0.0, Changed LST,365.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61175.txt,21,mm,AU_61175,1958120902,1969080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1969-07-31 14:00:00+00:00,1958-12-08 16:00:00+00:00
AU_44211,Australia,44211,CHESTERTON TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor44211_999999998752738.txt,-25.3353,147.3,520m,19905,34.55,5min,mm,NA,-999.0,0.01, Changed LST,520.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_44211.txt,21,mm,AU_44211,1998072516,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1998-07-25 06:00:00+00:00
AU_2048,Australia,2048,FLORA VALLEY,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor2048_999999998752773.txt,-18.2972,128.4419,380m,60672,20.55,5min,mm,NA,-999.0,0.0, Changed LST,380.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_2048.txt,21,mm,AU_2048,1997093001,2004090100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2004-08-31 16:00:00+00:00,1997-09-29 17:00:00+00:00
AU_9628,Australia,9628,COLLIE,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor9628_999999998752773.txt,-33.36,116.1467,204m,110871,22.88,5min,mm,NA,-999.0,0.0, Changed LST,204.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_9628.txt,21,mm,AU_9628,1956060910,1969020100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1969-01-31 16:00:00+00:00,1956-06-09 02:00:00+00:00
