,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_23894,Australia,23894,HINDMARSH ISLAND AWS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23894_999999998752775.txt,-35.5194,138.8177,11m,104830,21.35,5min,mm,,-999.0,0.0, Changed LST,11.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23894.txt,21,mm,AU_23894,2003021603,2015020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-01-31 14:30:00+00:00,2003-02-15 17:30:00+00:00,35692.922477502165
AU_23804,Australia,23804,VICTOR HARBOR (ENCOUNTER BAY),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23804_999999998752775.txt,-35.5544,138.5997,8m,123269,7.87,5min,mm,,-999.0,0.0, Changed LST,8.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23804.txt,21,mm,AU_23804,2001040720,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2001-04-07 10:30:00+00:00,26491.45085088303
AU_23083,Australia,23083,EDINBURGH RAAF,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23083_999999998752775.txt,-34.7111,138.6222,16.5m,309385,4.34,5min,mm,,-999.0,0.0, Changed LST,16.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23083.txt,21,mm,AU_23083,1979111400,2015030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-02-28 14:30:00+00:00,1979-11-13 14:30:00+00:00,69561.1957080163
AU_24515,Australia,24515,LANGHORNE CREEK,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24515_999999998752775.txt,-35.2959,139.0328,18m,370592,6.47,5min,mm,,-999.0,0.0, Changed LST,18.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24515.txt,21,mm,AU_24515,1973011917,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,1973-01-19 07:30:00+00:00,48599.8473555511
AU_22031,Australia,22031,MINLATON AERO,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor22031_999999998752775.txt,-34.748,137.5276,32m,122985,3.75,5min,mm,,-999.0,0.0, Changed LST,32.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_22031.txt,21,mm,AU_22031,2001072016,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-07-31 14:30:00+00:00,2001-07-20 06:30:00+00:00,109732.23211971746
AU_23122,Australia,23122,ROSEWORTHY AWS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23122_999999998752775.txt,-34.5106,138.6763,65m,140737,5.05,5min,mm,,-999.0,0.0, Changed LST,65.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23122.txt,21,mm,AU_23122,1999051200,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,1999-05-11 14:30:00+00:00,92319.88236756947
AU_24580,Australia,24580,STRATHALBYN RACECOURSE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24580_999999998752775.txt,-35.2836,138.8934,58m,114631,9.03,5min,mm,,-999.0,0.01, Changed LST,58.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24580.txt,21,mm,AU_24580,2002040218,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2002-04-02 08:30:00+00:00,36146.63327475592
AU_23838,Australia,23838,MOUNT COMPASS (MARSHALL BRAE),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23838_999999998752775.txt,-35.4156,138.6764,192m,171058,22.62,5min,mm,,-999.0,0.0, Changed LST,192.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23838.txt,21,mm,AU_23838,1978102515,1998050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1998-04-30 14:30:00+00:00,1978-10-25 05:30:00+00:00,18631.98869618296
AU_23728,Australia,23728,MACCLESFIELD,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23728_999999998752775.txt,-35.189,138.8262,311m,90552,16.64,5min,mm,,-999.0,0.01, Changed LST,311.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23728.txt,21,mm,AU_23728,2004020101,2014060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-05-31 14:30:00+00:00,2004-01-31 15:30:00+00:00,33553.593577392494
AU_23763,Australia,23763,MOUNT CRAWFORD FOREST HEADQUARTERS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23763_999999998752775.txt,-34.7122,138.9469,395m,392706,14.76,5min,mm,,-999.0,0.0, Changed LST,395.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23763.txt,21,mm,AU_23763,1970101307,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-07-31 14:30:00+00:00,1970-10-12 21:30:00+00:00,79756.57682947144
