,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_40659,Australia,40659,GREENBANK THOMPSON ROAD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40659_999999998752738.txt,-27.6956,152.9408,77m,341443,14.28,5min,mm,,-999.0,0.0, Changed LST,77.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40659.txt,21,mm,AU_40659,1975121906,2014120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-11-30 14:00:00+00:00,1975-12-18 20:00:00+00:00,40819.139461059174
AU_40106,Australia,40106,KENILWORTH TOWNSHIP,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40106_999999998752738.txt,-26.5956,152.7281,107m,299469,17.65,5min,mm,,-999.0,0.0, Changed LST,107.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40106.txt,21,mm,AU_40106,1981070304,2015090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-08-31 14:00:00+00:00,1981-07-02 18:00:00+00:00,113735.58581643389
AU_40062,Australia,40062,CROHAMHURST,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40062_999999998752738.txt,-26.8094,152.87,200m,353592,33.22,5min,mm,,-999.0,0.0, Changed LST,200.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40062.txt,21,mm,AU_40062,1960100101,2001020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2001-01-31 14:00:00+00:00,1960-09-30 15:00:00+00:00,94370.83565795801
AU_41056,Australia,41056,KILLARNEY POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor41056_999999998752738.txt,-28.3344,152.2953,507m,373398,11.26,5min,mm,,-999.0,0.0, Changed LST,507.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_41056.txt,21,mm,AU_41056,1972092419,2015050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-04-30 14:00:00+00:00,1972-09-24 09:00:00+00:00,83993.84174387743
AU_40915,Australia,40915,SUGARLOAF MOUNTAIN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40915_999999998752738.txt,-27.0592,152.3242,139m,61688,19.36,5min,mm,,-999.0,0.2, Changed LST,139.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40915.txt,21,mm,AU_40915,2008051717,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-05-31 14:00:00+00:00,2008-05-17 07:00:00+00:00,64419.89737462205
AU_40014,Australia,40014,BEAUDESERT CRYNA,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40014_999999998752738.txt,-28.0206,153.0131,106m,405535,15.18,5min,mm,,-999.0,0.0, Changed LST,106.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40014.txt,21,mm,AU_40014,1967112518,2014030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-02-28 14:00:00+00:00,1967-11-25 08:00:00+00:00,65365.6728980893
AU_41063,Australia,41063,LEYBURN POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor41063_999999998752738.txt,-28.0106,151.5856,412m,159865,23.33,5min,mm,,-999.0,0.0, Changed LST,412.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_41063.txt,21,mm,AU_41063,1997030600,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-05-31 14:00:00+00:00,1997-03-05 14:00:00+00:00,103998.09667352006
AU_40458,Australia,40458,CAPALABA WATER TREAT,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40458_999999998752738.txt,-27.5314,153.1825,28m,380146,10.92,5min,mm,,-999.0,0.0, Changed LST,28.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40458.txt,21,mm,AU_40458,1971111815,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1971-11-18 05:00:00+00:00,64109.84179917591
AU_40160,Australia,40160,NERANG GILSTON RD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40160_999999998752738.txt,-28.0092,153.3175,25m,265403,43.32,5min,mm,,-999.0,0.0, Changed LST,25.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40160.txt,21,mm,AU_40160,1970112014,2001030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2001-02-28 14:00:00+00:00,1970-11-20 04:00:00+00:00,88661.9814455307
AU_40651,Australia,40651,JIMNA FORESTRY,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40651_999999998752738.txt,-26.6644,152.4606,523m,112293,21.73,5min,mm,,-999.0,0.0, Changed LST,523.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40651.txt,21,mm,AU_40651,2001041104,2014020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-01-31 14:00:00+00:00,2001-04-10 18:00:00+00:00,104844.70421063033
