,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_31046,Australia,31046,MT GARNET POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31046_999999998752738.txt,-17.677,145.115,658m,371598,17.87,5min,mm,,-999.0,0.0, Changed LST,658.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31046.txt,21,mm,AU_31046,1972110819,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1972-11-08 09:00:00+00:00,112727.12256057991
AU_31141,Australia,31141,BELLENDEN KER TOP STN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31141_999999998752738.txt,-17.2639,145.8536,1545m,118391,25.62,5min,mm,,-999.0,0.0, Changed LST,1545.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31141.txt,21,mm,AU_31141,2001092802,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,2001-09-27 16:00:00+00:00,52687.75556357485
AU_31011,Australia,31011,CAIRNS AERO,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31011_999999998752738.txt,-16.8736,145.7458,2.2m,636720,8.81,5min,mm,,-999.0,0.0, Changed LST,2.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31011.txt,21,mm,AU_31011,1942091101,2015050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-04-30 14:00:00+00:00,1942-09-10 15:00:00+00:00,9166.689846904761
AU_31210,Australia,31210,MAREEBA AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31210_999999998752738.txt,-17.0672,145.4283,471.9m,125881,25.25,5min,mm,,-999.0,0.0, Changed LST,471.9,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31210.txt,21,mm,AU_31210,2001012000,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-05-31 14:00:00+00:00,2001-01-19 14:00:00+00:00,38765.26833430402
AU_31053,Australia,31053,RAVENSHOE KURADILLA STREET,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31053_999999998752738.txt,-17.6069,145.4811,912m,382623,23.96,5min,mm,,-999.0,0.0, Changed LST,912.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31053.txt,21,mm,AU_31053,1969040810,2012120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2012-11-30 14:00:00+00:00,1969-04-08 00:00:00+00:00,90018.55387723369
AU_31066,Australia,31066,MAREEBA QWRC,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31066_999999998752738.txt,-16.995,145.4253,400m,442262,10.82,5min,mm,,-999.0,0.0, Changed LST,400.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31066.txt,21,mm,AU_31066,1952011711,2002070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2002-06-30 14:00:00+00:00,1952-01-17 01:00:00+00:00,33790.929804237996
AU_31204,Australia,31204,REEF PARK,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31204_999999998752738.txt,-16.5261,145.4628,15m,164842,17.33,5min,mm,,-999.0,0.0, Changed LST,15.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31204.txt,21,mm,AU_31204,1996051015,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,1996-05-10 05:00:00+00:00,39850.74618933597
AU_31083,Australia,31083,KOOMBOOLOOMBA DAM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31083_999999998752738.txt,-17.84,145.5956,760m,483495,15.76,5min,mm,,-999.0,0.0, Changed LST,760.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31083.txt,21,mm,AU_31083,1960010310,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,1960-01-03 00:00:00+00:00,113598.88090592569
AU_31034,Australia,31034,KAIRI RESEARCH STATION,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor31034_999999998752738.txt,-17.2186,145.565,717m,518026,23.14,5min,mm,,-999.0,0.0, Changed LST,717.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_31034.txt,21,mm,AU_31034,1952092615,2011110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2011-10-31 14:00:00+00:00,1952-09-26 05:00:00+00:00,46186.59706307647
AU_32037,Australia,32037,SOUTH JOHNSTONE EXP STN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor32037_999999998752738.txt,-17.6053,145.9972,18.3m,396601,21.47,5min,mm,,-999.0,0.0, Changed LST,18.3,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_32037.txt,21,mm,AU_32037,1969010200,2014040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-03-31 14:00:00+00:00,1969-01-01 14:00:00+00:00,93424.4123683516
