,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_73007,Australia,73007,BURRINJUCK DAM,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor73007_999999998752763.txt,-34.9997,148.5984,390m,895390,31.64,5min,mm,,-999.0,0.0, Changed LST,390.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_73007.txt,21,mm,AU_73007,1911051003,2013070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2013-06-30 14:00:00+00:00,1911-05-09 17:00:00+00:00,110848.13019054907
AU_72163,Australia,72163,TOOMA (EUDLO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor72163_999999998752763.txt,-35.899,148.182,585m,161425,5.55,5min,mm,,-999.0,0.0, Changed LST,585.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_72163.txt,21,mm,AU_72163,1997030200,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1997-03-01 14:00:00+00:00,123106.83500583768
AU_70199,Australia,70199,NUMERALLA (BADJA COMPOSITE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor70199_999999998752763.txt,-36.0767,149.5134,1040m,432268,14.39,5min,mm,,-999.0,0.0, Changed LST,1040.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_70199.txt,21,mm,AU_70199,1965120721,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1965-12-07 11:00:00+00:00,46091.53495500296
AU_69148,Australia,69148,MORUYA AIRPORT AWS,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69148_999999998752763.txt,-35.9004,150.1437,4m,136409,14.15,5min,mm,,-999.0,0.0, Changed LST,4.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69148.txt,21,mm,AU_69148,1999120808,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1999-12-07 22:00:00+00:00,62974.13219884002
AU_69049,Australia,69049,NERRIGA COMPOSITE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69049_999999998752763.txt,-35.1165,150.0847,630m,355499,38.44,5min,mm,,-999.0,0.0, Changed LST,630.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69049.txt,21,mm,AU_69049,1971021014,2011090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2011-08-31 14:00:00+00:00,1971-02-10 04:00:00+00:00,79754.64520512595
AU_68076,Australia,68076,NOWRA RAN AIR STATION,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor68076_999999998752763.txt,-34.9449,150.545,109m,293577,34.14,5min,mm,,-999.0,0.0, Changed LST,109.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_68076.txt,21,mm,AU_68076,1964080516,1998020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1998-01-31 14:00:00+00:00,1964-08-05 06:00:00+00:00,123060.5494559144
AU_70351,Australia,70351,CANBERRA AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor70351_999999998752763.txt,-35.3089,149.2004,577.1m,45327,0.59,5min,mm,,-999.0,0.2, Changed LST,577.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_70351.txt,21,mm,AU_70351,2010042910,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,2010-04-29 00:00:00+00:00,48251.98183543564
AU_70014,Australia,70014,CANBERRA AIRPORT COMPARISON,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor70014_999999998752763.txt,-35.3049,149.2014,578.4m,639276,13.85,5min,mm,,-999.0,0.0, Changed LST,578.4,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_70014.txt,21,mm,AU_70014,1937122713,2010120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2010-11-30 14:00:00+00:00,1937-12-27 03:00:00+00:00,48559.952241014675
AU_70073,Australia,70073,CHAKOLA (RIVERSDALE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor70073_999999998752763.txt,-36.0329,149.1323,716m,432124,21.73,5min,mm,,-999.0,0.0, Changed LST,716.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_70073.txt,21,mm,AU_70073,1965121321,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1965-12-13 11:00:00+00:00,53633.71713775117
AU_69127,Australia,69127,ARALUEN LOWER (ARALUEN RD),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69127_999999998752763.txt,-35.6867,149.8382,145m,304599,17.77,5min,mm,,-999.0,0.0, Changed LST,145.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69127.txt,21,mm,AU_69127,1980070110,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1980-07-01 00:00:00+00:00,29666.116123953136
