,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_39089,Australia,39089,THANGOOL AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39089_999999998752738.txt,-24.4935,150.5709,193.1m,153224,6.66,5min,mm,,-999.0,0.0, Changed LST,193.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39089.txt,21,mm,AU_39089,1997100717,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1997-10-07 07:00:00+00:00,99735.92069369416
AU_39334,Australia,39334,HAZELDEAN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39334_999999998752738.txt,-24.0213,150.9603,66m,177699,8.65,5min,mm,,-999.0,0.0, Changed LST,66.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39334.txt,21,mm,AU_39334,1994112122,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,1994-11-21 12:00:00+00:00,35900.112947327434
AU_39314,Australia,39314,SEVENTEEN SEVENTY,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39314_999999998752738.txt,-24.1568,151.8889,41m,246998,7.8,5min,mm,,-999.0,0.0, Changed LST,41.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39314.txt,21,mm,AU_39314,1986072811,2014100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-09-30 14:00:00+00:00,1986-07-28 01:00:00+00:00,71923.05194723327
AU_39069,Australia,39069,WALTERHALL,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39069_999999998752738.txt,-23.6286,150.3867,248m,370419,19.52,5min,mm,,-999.0,0.0, Changed LST,248.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39069.txt,21,mm,AU_39069,1972112622,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,1972-11-26 12:00:00+00:00,92793.920135972
AU_39122,Australia,39122,HERON ISLAND RES STN,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39122_999999998752738.txt,-23.4417,151.9125,3.3m,71444,7.03,5min,mm,,-999.0,0.01, Changed LST,3.3,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39122.txt,21,mm,AU_39122,1999030705,2007050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2007-04-30 14:00:00+00:00,1999-03-06 19:00:00+00:00,80538.4731495739
AU_39104,Australia,39104,MONTO TOWNSHIP,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39104_999999998752738.txt,-24.8642,151.1247,239m,455079,30.47,5min,mm,,-999.0,0.0, Changed LST,239.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39104.txt,21,mm,AU_39104,1963040110,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,1963-04-01 00:00:00+00:00,112659.83168985686
AU_39349,Australia,39349,WESTWOOD TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39349_999999998752738.txt,-23.6264,150.1547,160m,19895,26.0,5min,mm,,-999.0,0.04, Changed LST,160.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39349.txt,21,mm,AU_39349,1998072602,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1998-07-25 16:00:00+00:00,115797.6555748179
AU_39123,Australia,39123,GLADSTONE RADAR,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39123_999999998752738.txt,-23.8553,151.2628,74.5m,467496,20.84,5min,mm,,-999.0,0.0, Changed LST,74.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39123.txt,21,mm,AU_39123,1961120101,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1961-11-30 15:00:00+00:00,38.97543807295635
AU_33312,Australia,33312,HEDLOW AIRFIELD TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor33312_999999998752738.txt,-23.2233,150.605,30m,14765,15.97,5min,mm,,-999.0,0.01, Changed LST,30.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_33312.txt,21,mm,AU_33312,1999022420,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1999-02-24 10:00:00+00:00,96999.61847208715
AU_39083,Australia,39083,ROCKHAMPTON AERO,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39083_999999998752738.txt,-23.3753,150.4775,10.4m,664008,6.7,5min,mm,,-999.0,0.0, Changed LST,10.4,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39083.txt,21,mm,AU_39083,1939110101,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-07-31 14:00:00+00:00,1939-10-31 15:00:00+00:00,96168.85008259777
AU_39297,Australia,39297,BUILYAN GUM STREET,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39297_999999998752738.txt,-24.5272,151.3814,131m,271614,16.26,5min,mm,,-999.0,0.0, Changed LST,131.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39297.txt,21,mm,AU_39297,1984040519,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1984-04-05 09:00:00+00:00,75419.07779349935
