,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_58192,Australia,58192,UPPER MONGOGARIE (MARANGAROO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58192_999999998752763.txt,-28.9883,152.8809,70m,249754,10.75,5min,mm,,-999.0,0.0, Changed LST,70.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58192.txt,21,mm,AU_58192,1987010215,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1987-01-02 05:00:00+00:00,70569.20698421198
AU_59026,Australia,59026,UPPER ORARA (AURANIA),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor59026_999999998752763.txt,-30.3076,152.9874,145m,381319,13.15,5min,mm,,-999.0,0.0, Changed LST,145.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_59026.txt,21,mm,AU_59026,1970040118,2013100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2013-09-30 14:00:00+00:00,1970-04-01 08:00:00+00:00,76081.19491107174
AU_58044,Australia,58044,NIMBIN POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58044_999999998752763.txt,-28.5966,153.2233,70m,457978,23.45,5min,mm,,-999.0,0.0, Changed LST,70.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58044.txt,21,mm,AU_58044,1963040215,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1963-04-02 05:00:00+00:00,116702.32618471814
AU_57095,Australia,57095,TABULAM (MUIRNE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor57095_999999998752763.txt,-28.7551,152.4507,555m,396630,9.75,5min,mm,,-999.0,0.0, Changed LST,555.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_57095.txt,21,mm,AU_57095,1969123119,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1969-12-31 09:00:00+00:00,107704.52629413469
AU_58099,Australia,58099,WHIPORIE POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58099_999999998752763.txt,-29.2823,152.9886,50m,370431,20.7,5min,mm,,-999.0,0.0, Changed LST,50.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58099.txt,21,mm,AU_58099,1973032810,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1973-03-28 00:00:00+00:00,37829.72414067437
AU_59067,Australia,59067,DORRIGO (MYRTLE ST),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor59067_999999998752763.txt,-30.3439,152.7128,740m,394442,9.91,5min,mm,,-999.0,0.0, Changed LST,740.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_59067.txt,21,mm,AU_59067,1954070123,1999070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1999-06-30 14:00:00+00:00,1954-07-01 13:00:00+00:00,83260.16417767564
AU_59040,Australia,59040,COFFS HARBOUR MO,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor59040_999999998752763.txt,-30.3107,153.1187,5m,476952,9.19,5min,mm,,-999.0,0.0, Changed LST,5.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_59040.txt,21,mm,AU_59040,1960110201,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1960-11-01 15:00:00+00:00,78040.66961924928
AU_58131,Australia,58131,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58131_999999998752763.txt,-28.8521,153.4556,140m,423374,8.72,5min,mm,,-999.0,0.0, Changed LST,140.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58131.txt,21,mm,AU_58131,1963021211,2011060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2011-05-31 14:00:00+00:00,1963-02-12 01:00:00+00:00,98430.02865645019
AU_57103,Australia,57103,KOOKABOOKRA,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor57103_999999998752763.txt,-30.0093,152.0101,975m,398812,11.35,5min,mm,,-999.0,0.0, Changed LST,975.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_57103.txt,21,mm,AU_57103,1969123121,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1969-12-31 11:00:00+00:00,100574.23476903599
AU_56202,Australia,56202,BLACK SWAMP (MAXWELL),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor56202_999999998752763.txt,-28.9776,152.1552,820m,384810,19.28,5min,mm,,-999.0,0.0, Changed LST,820.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_56202.txt,21,mm,AU_56202,1971080707,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1971-08-06 21:00:00+00:00,105258.84570791016
