,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_87031,Australia,87031,LAVERTON RAAF,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87031_999999998752770.txt,-37.8565,144.7566,20.1m,302127,10.75,5min,mm,,-999.0,0.0, Changed LST,20.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87031.txt,21,mm,AU_87031,1965031410,1999090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1999-08-31 14:00:00+00:00,1965-03-14 00:00:00+00:00,164.65523034606525
AU_89002,Australia,89002,BALLARAT AERODROME,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor89002_999999998752770.txt,-37.5127,143.7911,435.2m,393998,9.6,5min,mm,,-999.0,0.0, Changed LST,435.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_89002.txt,21,mm,AU_89002,1954082011,1999080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1999-07-31 14:00:00+00:00,1954-08-20 01:00:00+00:00,93179.04452249863
AU_88009,Australia,88009,CAIRN CURRAN RESERVOIR,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor88009_999999998752770.txt,-36.9886,143.9747,220m,100080,7.25,5min,mm,,-999.0,0.04, Changed LST,220.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_88009.txt,21,mm,AU_88009,2004030101,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,2004-02-29 15:00:00+00:00,118445.20217980762
AU_87017,Australia,87017,BLACKWOOD,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87017_999999998752770.txt,-37.4702,144.3069,560m,362988,17.5,5min,mm,,-999.0,0.0, Changed LST,560.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87017.txt,21,mm,AU_87017,1974020113,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-06-30 14:00:00+00:00,1974-02-01 03:00:00+00:00,58254.36488965835
AU_87133,Australia,87133,GEELONG NORTH,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87133_999999998752770.txt,-38.1164,144.3667,12.2m,249657,24.16,5min,mm,,-999.0,0.0, Changed LST,12.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87133.txt,21,mm,AU_87133,1968080916,1997020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1997-01-31 14:00:00+00:00,1968-08-09 06:00:00+00:00,44794.16786698113
AU_86282,Australia,86282,MELBOURNE AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86282_999999998752770.txt,-37.6655,144.8321,113.4m,395199,10.51,5min,mm,,-999.0,0.0, Changed LST,113.4,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86282.txt,21,mm,AU_86282,1970070110,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1970-07-01 00:00:00+00:00,22121.199064007607
AU_86085,Australia,86085,NARRE WARREN NORTH (NARRE WARREN  NORTH,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86085_999999998752770.txt,-37.9897,145.3356,120m,354135,11.05,5min,mm,,-999.0,0.0, Changed LST,120.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86085.txt,21,mm,AU_86085,1974110610,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-03-31 14:00:00+00:00,1974-11-06 00:00:00+00:00,53141.84554557136
AU_86314,Australia,86314,KOO WEE RUP,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86314_999999998752770.txt,-38.1992,145.4933,5.1m,507751,16.2,5min,mm,,-999.0,0.0, Changed LST,5.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86314.txt,21,mm,AU_86314,1957082818,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-07-31 14:00:00+00:00,1957-08-28 08:00:00+00:00,75188.6091095114
AU_88023,Australia,88023,LAKE EILDON,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor88023_999999998752770.txt,-37.2313,145.9124,230m,505125,9.81,5min,mm,,-999.0,0.0, Changed LST,230.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_88023.txt,21,mm,AU_88023,1957101604,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-05-31 14:00:00+00:00,1957-10-15 18:00:00+00:00,123487.29211806547
AU_86142,Australia,86142,TOOLANGI (MOUNT ST LEONARD DPI),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86142_999999998752770.txt,-37.572,145.5014,595m,536873,13.88,5min,mm,,-999.0,0.0, Changed LST,595.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86142.txt,21,mm,AU_86142,1954010108,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-03-31 14:00:00+00:00,1953-12-31 22:00:00+00:00,72897.96597354981
