,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_60141,Australia,60141,TAREE AIRPORT AWS,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor60141_999999998752763.txt,-31.8896,152.512,8m,88886,23.8,5min,mm,,-999.0,0.02, Changed LST,8.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_60141.txt,21,mm,AU_60141,2005051011,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,2005-05-10 01:00:00+00:00,103867.22080702012
AU_61250,Australia,61250,PATERSON (TOCAL AWS),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61250_999999998752763.txt,-32.6296,151.5919,30m,354920,7.77,5min,mm,,-999.0,0.0, Changed LST,30.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61250.txt,21,mm,AU_61250,1975010317,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1975-01-03 07:00:00+00:00,42118.461692374636
AU_61288,Australia,61288,LOSTOCK DAM,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61288_999999998752763.txt,-32.3322,151.4595,200m,400357,37.93,5min,mm,,-999.0,0.0, Changed LST,200.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61288.txt,21,mm,AU_61288,1969102812,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1969-10-28 02:00:00+00:00,69053.46762258955
AU_61309,Australia,61309,MILBRODALE (HILLSDALE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61309_999999998752763.txt,-32.6881,150.9728,120m,401668,7.03,5min,mm,,-999.0,0.0, Changed LST,120.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61309.txt,21,mm,AU_61309,1969100421,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1969-10-04 11:00:00+00:00,98761.90352511017
AU_61311,Australia,61311,GRAHAMSTOWN (HUNTER WATER BOARD),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61311_999999998752763.txt,-32.7688,151.793,11m,278239,40.65,5min,mm,,-999.0,0.0, Changed LST,11.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61311.txt,21,mm,AU_61311,1975010318,2006100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2006-09-30 14:00:00+00:00,1975-01-03 08:00:00+00:00,22163.922513049416
AU_61390,Australia,61390,NEWCASTLE UNIVERSITY,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61390_999999998752763.txt,-32.8906,151.7068,21m,149760,7.08,5min,mm,,-999.0,0.0, Changed LST,21.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61390.txt,21,mm,AU_61390,1998070101,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1998-06-30 15:00:00+00:00,34717.093774243134
AU_61351,Australia,61351,PEATS RIDGE (WARATAH ROAD),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61351_999999998752763.txt,-33.3102,151.2445,280m,256351,7.14,5min,mm,,-999.0,0.0, Changed LST,280.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61351.txt,21,mm,AU_61351,1981100318,2011010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2010-12-31 14:00:00+00:00,1981-10-03 08:00:00+00:00,97253.63991261474
AU_61238,Australia,61238,POKOLBIN (SOMERSET),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61238_999999998752763.txt,-32.8126,151.3043,132m,464148,12.87,5min,mm,,-999.0,0.0, Changed LST,132.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61238.txt,21,mm,AU_61238,1962081913,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1962-08-19 03:00:00+00:00,68143.32548580863
AU_60106,Australia,60106,NUMBER ONE (MURRAYS CREEK),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor60106_999999998752763.txt,-31.6647,152.0637,120m,332535,11.98,5min,mm,,-999.0,0.0, Changed LST,120.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_60106.txt,21,mm,AU_60106,1977072410,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1977-07-24 00:00:00+00:00,118187.75999354907
AU_61078,Australia,61078,WILLIAMTOWN RAAF,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61078_999999998752763.txt,-32.7932,151.8359,9m,547838,9.94,5min,mm,,-999.0,0.0, Changed LST,9.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61078.txt,21,mm,AU_61078,1952123111,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1952-12-31 01:00:00+00:00,19055.201929933424
