,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_68054,Australia,68054,ROBERTSON (CAALONG STREET),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor68054_999999998752763.txt,-34.5845,150.5926,758m,86887,13.98,5min,mm,,-999.0,0.0, Changed LST,758.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_68054.txt,21,mm,AU_68054,2005080118,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,2005-08-01 08:00:00+00:00,44156.09393319094
AU_66062,Australia,66062,SYDNEY (OBSERVATORY HILL),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor66062_999999998752763.txt,-33.8607,151.205,39m,894811,5.63,5min,mm,,-999.0,0.0, Changed LST,39.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_66062.txt,21,mm,AU_66062,1913010306,2015020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-01-31 14:00:00+00:00,1913-01-02 20:00:00+00:00,53986.155710916835
AU_67020,Australia,67020,LIVERPOOL (MICHAEL WENDEN CENTRE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor67020_999999998752763.txt,-33.9214,150.8861,20m,94083,11.11,5min,mm,,-999.0,0.01, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_67020.txt,21,mm,AU_67020,2001120722,2012090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2012-08-31 14:00:00+00:00,2001-12-07 12:00:00+00:00,37850.057194798166
AU_68102,Australia,68102,BOWRAL (PARRY DRIVE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor68102_999999998752763.txt,-34.4869,150.4019,690m,195668,10.98,5min,mm,,-999.0,0.0, Changed LST,690.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_68102.txt,21,mm,AU_68102,1992120405,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,1992-12-03 19:00:00+00:00,50131.133126807945
AU_63043,Australia,63043,KURRAJONG HEIGHTS (BELLS LINE OF ROAD),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor63043_999999998752763.txt,-33.5347,150.6337,460m,439830,13.74,5min,mm,,-999.0,0.0, Changed LST,460.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_63043.txt,21,mm,AU_63043,1965052819,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1965-05-28 09:00:00+00:00,83756.34245307615
AU_66142,Australia,66142,DUFFYS FOREST (NAMBA RD),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor66142_999999998752763.txt,-33.6761,151.1818,169m,242440,13.89,5min,mm,,-999.0,0.0, Changed LST,169.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_66142.txt,21,mm,AU_66142,1987110309,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1987-11-02 23:00:00+00:00,70955.75147952909
AU_63063,Australia,63063,OBERON (SPRINGBANK),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor63063_999999998752763.txt,-33.6682,149.8348,1053m,236572,63.42,5min,mm,,-999.0,0.01, Changed LST,1053.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_63063.txt,21,mm,AU_63063,1988070421,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1988-07-04 11:00:00+00:00,116566.40308033324
AU_66192,Australia,66192,SYDNEY AIRPORT TBRG,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor66192_999999998752763.txt,-33.9411,151.1725,3m,11526,12.29,5min,mm,,-999.0,0.01, Changed LST,3.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_66192.txt,21,mm,AU_66192,1996040719,1997080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1997-07-31 14:00:00+00:00,1996-04-07 09:00:00+00:00,44995.38485828163
AU_68242,Australia,68242,KIAMA (BOMBO HEADLAND),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor68242_999999998752763.txt,-34.6532,150.8609,15.5m,3087,12.8,5min,mm,,-999.0,0.04, Changed LST,15.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_68242.txt,21,mm,AU_68242,2001122310,2002050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2002-04-30 14:00:00+00:00,2001-12-23 00:00:00+00:00,43359.97866703915
AU_69049,Australia,69049,NERRIGA COMPOSITE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69049_999999998752763.txt,-35.1165,150.0847,630m,355499,38.44,5min,mm,,-999.0,0.0, Changed LST,630.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69049.txt,21,mm,AU_69049,1971021014,2011090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2011-08-31 14:00:00+00:00,1971-02-10 04:00:00+00:00,119244.51039760355
