,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_91126,Australia,91126,DEVONPORT AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91126_999999998752777.txt,-41.1701,146.4289,8m,87333,7.97,5min,mm,,-999.0,0.01, Changed LST,8.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91126.txt,21,mm,AU_91126,2005041404,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-03-31 14:00:00+00:00,2005-04-13 18:00:00+00:00,71326.42189306188
AU_91168,Australia,91168,GOWRIE PARK,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91168_999999998752777.txt,-41.4706,146.2147,284m,59216,52.05,5min,mm,,-999.0,0.0, Changed LST,284.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91168.txt,21,mm,AU_91168,2001082917,2008060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2008-05-31 14:00:00+00:00,2001-08-29 07:00:00+00:00,62184.00437817577
AU_96033,Australia,96033,LIAWENEE,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor96033_999999998752777.txt,-41.8997,146.6694,1057m,35582,9.89,5min,mm,,-999.0,0.2, Changed LST,1057.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_96033.txt,21,mm,AU_96033,2009090911,2013100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2013-09-30 14:00:00+00:00,2009-09-09 01:00:00+00:00,121036.48288214856
AU_91366,Australia,91366,JACKEYS MARSH,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91366_999999998752777.txt,-41.6794,146.6764,489m,23264,24.64,5min,mm,,-999.0,0.2, Changed LST,489.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91366.txt,21,mm,AU_91366,2012120417,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-07-31 14:00:00+00:00,2012-12-04 07:00:00+00:00,107133.35536065567
AU_91009,Australia,91009,BURNIE (ROUND HILL),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91009_999999998752777.txt,-41.0661,145.9431,8m,620027,23.48,5min,mm,,-999.0,0.0, Changed LST,8.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91009.txt,21,mm,AU_91009,1944110614,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-07-31 14:00:00+00:00,1944-11-06 04:00:00+00:00,33132.12308564705
AU_91186,Australia,91186,FORTHSIDE RESEARCH STATION,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91186_999999998752777.txt,-41.2039,146.265,127m,339127,8.85,5min,mm,,-999.0,0.0, Changed LST,127.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91186.txt,21,mm,AU_91186,1976052518,2015020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-01-31 14:00:00+00:00,1976-05-25 08:00:00+00:00,57604.549361942496
AU_97008,Australia,97008,QUEENSTOWN (COPPER MINE),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor97008_999999998752777.txt,-42.0661,145.5681,191m,354084,15.19,5min,mm,,-999.0,0.0, Changed LST,191.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_97008.txt,21,mm,AU_97008,1963061013,2003110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2003-10-31 14:00:00+00:00,1963-06-10 03:00:00+00:00,98308.69728775421
AU_91000,Australia,91000,DELORAINE (ATHOL),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91000_999999998752777.txt,-41.5211,146.7158,237m,113244,7.62,5min,mm,,-999.0,0.0, Changed LST,237.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91000.txt,21,mm,AU_91000,2002083013,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-07-31 14:00:00+00:00,2002-08-30 03:00:00+00:00,102358.54211101183
AU_97091,Australia,97091,QUEENSTOWN (SOUTH QUEENSTOWN),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor97091_999999998752777.txt,-42.0961,145.5456,118m,89483,9.84,5min,mm,,-999.0,0.02, Changed LST,118.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_97091.txt,21,mm,AU_97091,2005051614,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-07-31 14:00:00+00:00,2005-05-16 04:00:00+00:00,101674.83353752781
AU_97006,Australia,97006,LAKE MARGARET DAM,B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor97006_999999998752777.txt,-41.9933,145.5725,665m,163534,3.62,5min,mm,,-999.0,0.0, Changed LST,665.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_97006.txt,21,mm,AU_97006,1996110303,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,2015-06-30 14:00:00+00:00,1996-11-02 17:00:00+00:00,90219.95167584546
